"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"United States",0,115.570400822199,115.411646586345,115.466666666667,115.280065897858,114.484451718494,113.417890520694,112.279293739968,110.933694181326,110.248447204969,108.055555555556,105.767195767196,102.830188679245,100.250836120401,98.8970588235294,99.8789346246973,99.8883928571429,101.53399668325,101.880877742947,101.716744913928,101.093493712411,100,98.7994350282486,96.4705882352941,94.627611981222,94.5741324921136,95.1807228915663,96.8245425188375,97.2354965585054,98.1060606060606,98.1717011128776,97.6817042606516,97.3658051689861,97.4474474474474,98.0377358490566,106.6,106.076759061834,106.122448979592,107.467144563919,109.328358208955,111.44883485309,113.079470198675,114.107883817427,114.042933810376,114,114.413075780089,114.012504597278,113.122171945701,112.645348837209,111.89574327498,113.682310469314,115.605590062112,118.012192356325,119.753086419753,120.240700218818,120.3861003861,120.263975155279,120.145631067961,119.891891891892,118.464052287582,116.966696669667,118.022446934655,119.691470054446,121.240601503759,123.453672010896,126.003824091778,126.462219411951,125.892521608418,125.628140703518,125.722273998136,125.901875901876,125.583566760037,124.612403100775,124.40373314898,126.280681738573,128.808236496366,131.411822178798,132.908414880478,133.481701285856,133.43253968254,132.934044243483,133.391853932584,133.264462809917,132.505677014599,131.296783329962,130.922551252847,132.73381294964,135.363317010858,137.963843958135,139.911634756996,140.562546262028,140.276746903388,139.772727272727,140.247329960652,140.391722099039
"New York, NY",1,231.481481481481,230.136986814202,233.747609942639,232.857142857143,235.237661999537,234.651277115416,232.120743034056,228.974020255394,230.935759425878,228.275724213337,226.301926452775,222.746222613267,219.188596491228,214.592274678112,218.973941368078,217.013888888889,217.890741814211,215.936952714536,214.055793991416,211.817675078545,210.15625,208.56606496311,206.043956043956,202.654867256637,203.573884849676,199.166666666667,207.667731629393,209.22406277245,211.927582534611,208.702633269107,206.4,203.125,202.903225806452,202.320561252024,217.028571428571,215.573179524153,217.237633898474,219.166993977481,222.166666666667,223.02997920853,223.333333333333,221.77251344086,221.044608472401,219.133996489175,220,220.940170940171,225.548780487805,224.316644993498,226.601683762284,229.434228333386,232.110679136093,235.096153846154,238.333333333333,242.246325186911,239.323188276668,238.083982525233,237.955298013245,238.081174190833,236.915453700836,238.527049242188,240,240,240.033222591362,241.157556270096,238.494047679664,240.378243075413,242.867257554407,241.561181434599,240.390996648884,240.588235294118,240.353697749196,238.797960826402,245.741878841089,246.071428571429,241.935483870968,248.538011695906,246.695314485563,246.571906354515,245.183306084214,242.403314917127,244.744420446364,244.977815277875,246.441419519829,244.560050355116,247.668997668998,250,253.986332574032,255.730769230769,260.983036102653,261.930713983946,261.974151857835,258.425024788916,262.10235131397,264.728084389174
"Los Angeles, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.287227452377,325.449172576832,322.881712578455,326.370322019147,328.674606955693,335.270597786153,339.47496043698,342.414279004227,343.897570644395,342.7078125,343.623481781377,342.714285714286,339.622641509434,331.116997792494,335.229202037351,344.674556213018,348.865806055191,353.862212943633,360.258369723435,361.611847879767,363.149847094801,365.378532672287,365.421662736241,366.301413881748,364.937808026285,365.990990990991,368.020304568528,373.275307138904,377.936396939895,381.149425287356,383.266475644699,386.830357142857,388.009394028692,387.369791666667,387.952697708795,388.594164456233,389.075672987817,387.769784172662,390.473423980222,393.031253682796,400,404.620292205542,408.100130463144,405.646359583952,407.331975560081,409.090909090909,409.83606557377,411.338917842233
"Chicago, IL",3,145.693005181347,145.348837209302,146.055514974434,145.35920855329,142.97349789514,141.787203057757,138.768950080378,137.358238825884,133.578638866677,132.449494949495,129.925262766254,125.244452386941,123,121.752419765665,122.388059701493,122.897800776197,123.682039256557,122.924477771826,122.116689280868,120.661896243292,118.850057180942,116.480438184664,112.646076794658,109.299097848716,109.785932721713,111.377248944373,112.743506493506,113.403765264586,114.102564102564,113.25,109.797297297297,107.988443742492,106.828978622328,106.11583141321,112.98609795157,110.916419713753,110.511054729975,112.760416666667,115.671641791045,118.720234728507,122.06106870229,124.195906432749,123.593005034508,123.355695755696,123.924142961342,122.742200328407,119.432715748415,119.071299786402,116.879058441558,121.212121212121,125.343442650139,129.083333333333,132.805459743111,135.162601626016,134.424125761951,133.829365079365,132.692307692308,131.776088092206,129.296648885345,125.334755424842,124.530168150346,128.481854415775,133.332694444444,135.869565217391,140.263157894737,141.70704096476,141.087297438578,140,138.812965105166,137.94319097502,136.349331235248,133.748137108793,133.262542015314,136.611913804015,140.584415584416,143.971448148902,146.48384665239,148.89573703133,148.148148148148,146.153846153846,146,145.560407569141,144.432548179872,142.4995,142.375899367425,146.510676500335,150.487670940664,153.211549793754,154.659357870008,155.795148247978,155.249328104229,153.72316126085,153.266666666667,152.6957761078
"Dallas, TX",4,83.8398946934493,84.1584158415842,84.8606524438981,85.3212672142689,85.4166666666667,85.1120597652081,84.7211895910781,84.1938644415937,83.8485840479008,83.1234256926952,82.3606321165332,80.8817425488245,79.9674180675836,79.6516567544605,79.9086757990868,80.3155479059094,81.1487341017014,81.0732833237161,80.7397959183673,80.1769422173072,79.2544187767729,78.9473684210526,77.716643741403,76.448087431694,76.8503289473684,77.9732307723411,78.0938123752495,78.6369593709043,79.8302966046232,80.8881839809675,80.0505760044956,79.3149519787656,78.8021808419298,79.7914995990377,85.4321516270816,85.7972544878564,85.8048449173647,87.1031746031746,89.5634947195865,90.8337887205029,91.8736393323657,92.3970432946146,92.5925925925926,92.7266451909802,92.7054344465059,93.0641543292956,92.8381962864722,93.4730904049214,93.4751773049645,94.6720297029703,96.385816235504,97.8214741173907,99.2301458670989,97.751497005988,98.1274756931941,100.30185842011,100.379147260077,100.906188867605,100.576546298529,102.803215959545,104.355958927598,106.038820992092,109.112312554548,109.949034180569,109.232137526122,109.54200551666,109.612141652614,109.949651457541,110.537310574793,111.73953099786,112.194513715711,113.607524898561,114.325168103353,114.616988014591,117.1875,118.63309352518,119.92,120.565020876536,120.892746435214,121.309840425532,121.902478017586,123.946666368311,123.508691674291,124.039408866995,125.398512221041,126.566496163683,128.674948240166,129.993364299934,130.605329435405,131.110615079365,130.738959335374,130.695820433437,131.45295202952,131.533087217649
"Philadelphia, PA",5,141.304347826087,142.098086124402,143.602556080831,143.2,142.391746559592,141.248418388865,140.075973409307,138.643067846608,138.095238095238,135.975135975136,134.443021766965,132.087628865979,130.928353215013,131.238273921201,131.151422006955,131.072788562013,132.49299719888,130.753138075314,128.571428571429,127.551020408163,125.396041156911,124.091250940085,122.214673913043,118.744602763385,120.265486725664,122.574867104698,124.237731011945,124.609375,124.952787641539,124.524590163934,123.436471362739,121.794566164571,120.738636363636,121.141253507951,124.345470390719,123.31124956125,122.622699386503,124.354763022055,126.721212121212,128.160112359551,130.562747841725,131.284271284271,129.385334382535,127.465986394558,127.589061335772,127.188465499485,126.260258147669,126.178451178451,124.083514279933,124.564438778607,128.326180257511,131.215373695519,132.436837815811,132.313375534239,130.488105695068,129.521016617791,129.62962962963,128.676470588235,126.719023729893,123.92368061513,123.276813018786,125.750242013553,128.865979381443,131.946095917558,133.372003093581,133.161512027491,131.25,129.839861501839,129.228007181329,128.823782852219,127.909826985804,125.198625597652,124.081156171505,125,127.92,131.131221719457,132.210266585267,132.278123233465,130.914863167556,129.364305603898,129.253302453251,128.960758366944,127.478260869565,124.039313462674,124.092960288809,125.780625,130.09828009828,133.846497099509,135.802469135802,135.823429541596,135.308928571429,133.441558441558,134.090909090909,135.103107486828
"Houston, TX",6,80.7413110407495,81.4661538461538,81.7132575156247,81.7173706215859,81.5049226441631,81.33710396421,80.2675585284281,79.8970544077905,80.5555555555556,79.9280916281893,79.9358341559724,79.1533037573114,78.6898613753737,78.5636765982678,78.7515762925599,78.4816753926702,78.8866091439697,78.8202573353585,78.2296650717703,77.8047989623865,76.475,76.9223868954758,75.9033877038896,76.1426592797784,76.5062820104133,76.7615564664911,77.6697892271663,78.6516853932584,78.927599346761,79.1397392319534,78.6802030456853,78.815809048059,79.0743670886076,79.3042537851478,81.2648256531326,82.3164160401003,82.8125,85.1459172584242,86.4130694400965,87.2005708823363,88.2451633365049,89.3325387365912,89.7118557444323,89.967845659164,90.9883720930233,92.5925925925926,91.8303571428571,92.5751136698123,93.0650030835504,94.8963885194919,96.2883654532477,98.6483103032928,99.1743684534812,99.6412367080217,100.031668395675,101.294316263365,102.756906077348,103.472922872426,104.402073306183,106.820184843921,108.801290917473,110.215185444367,111.111111111111,112.889804752015,111.482858323007,110.118043844857,112.310698583293,113.11437867892,113.362068965517,114.28144989339,114.198164146868,115.781911958691,115.808823529412,113.602391629297,114.709517923362,114.721135029354,115.055248618785,114.963503649635,114.599747548259,114.376400799882,114.085322139354,114.59359486749,113.636363636364,113.478955780501,114.299725022915,115.227039945374,115.981602675815,116.500231160425,116.651112706389,116.707616707617,116.201279813845,116.19739292365,116.917746484496,116.933814791416
"Washington, DC",7,182.317073170732,182.393617021277,186.639955709711,192.407194357272,191.287532353083,188.008130081301,187.416666666667,182.50800644644,178.872764090449,178.151754329214,175.832267689685,170.359848484848,165.749003792327,164.772727272727,168.298004987531,170.307291666667,174.528301886792,175.316925151719,172.886986006616,171.325209444021,170.964546610275,168.296116504854,161.849916685507,157.651869158878,156.101079069444,158.519441498763,163.461538461538,168.463444589151,173.490198428935,175,172.150422284747,168.733979153251,168.991853360489,170.195205164901,179.155486450466,174.381150550796,174.395529969523,178.014064452536,185.268292682927,192.957886567465,197.080291970803,199.157406015352,196.890338241571,195.833333333333,199.583476714843,198.355101338056,195.3125,190.71390946395,187.49494047619,192.066079295154,196.879752631335,201.134271792095,206.277486910995,206.327372764787,204.282964388835,201.620452827714,201.863354037267,201.558326250607,198.06338028169,192.307692307692,189.43661971831,192.684685784015,197.905229591837,202.7,206.30231413097,205.758087633088,198.407142857143,202.113970588235,202.982721228881,202.898550724638,200.434285672158,198.0171594814,196.428571428571,201.106282101936,206.827586206897,214.047890535918,215.695792880259,216.049382716049,214.880952380952,211.168981481481,213.257965056526,213.909465020576,212.650261129465,209.380453752181,207.5,211.93190978084,216.433121019108,221.041286079649,222.929936305732,223.670910065141,222.000968037084,219.357200783462,222.651673707404,222.660653889515
"Miami, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.142857142857,136.200716845878,138.821047406304,141.304347826087,143.652366114167,144.868889608287,146.245059288538,146.937573616019,145.919339472849,147.268106734435,150,154.285714285714,155.497925311203,156.478874288609,157.666603779345,156.998792270531,158.597834787872,157.87099684258,159.483841621903,158.849325441715,159.033078880407,160.720290133538,161.780575539568,164.473684210526,165.909090909091,165.626217848792,169.333333333333,169.594129288354,168.543845534996,167.473769168684,168.038922155689,171.669106881406,173.666158313171,174.931750235536,176.372549019608,182.435832913941,183.359420289855,186.457066098946,189.545454545455,189.376378136884,192.692757899125,193.798449612403,195.588205855496,196.90635451505,197.387606318348,200.050658561297,202.23932820154,203.697019644513,204.86224916388,204.869830208395,206.589958158996,207.219251336898,208.702251454591,210.079090459713,211.187214611872,211.31741821397,211.05141980046,213.414634146341,212.903225806452
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9715857011916,90.8325765831214,89.8389095415118,87.3906705539359,85.7037388366849,88.6075949367089,91.239681377257,94.3763919821826,95.6892977189336,96.2974111980734,95.8026645561272,95.3233807417833,95.2708413369189,94.5874934314241,91.7658187967363,90.3827838827839,91.6666666666667,94.0460081190798,94.5402298850575,94.9142156862745,96.9995590828924,98.0392156862745,96.3468678883699,96.6773495925533,96.2315388280133,96.5298732649366,95.8881578947368,95.3336656781539,95.54682383759,97.9444043738514,100.513882266642,102.828802351212,104.768900701685,105.111821086262,105.534031081387,105.564014199765,105.098107918711,105.924589907827,105.633802816901,104.418143003933,104.097222222222,106.1875,110.106382978723,112.557911908646,113.630806845966,114.840989399293,115.040650406504,114.854972542305,115.193966619936,115.846571096474
"Boston, MA",10,207.628290314337,210.565110565111,213.667041619798,215.201793721973,214.720834157926,213.636363636364,210.129310344828,205.563583815029,205.831903945111,205.267234701782,204.6875,201.286353467562,198.863636363636,197.574244057703,200.923197949853,203.954081632653,207.19478626943,205.630478759272,201.718983557549,199.184042846998,198.310043714456,196.337579617834,190.609440571296,187.368421052632,189.005602240896,191.965639211723,196.998123827392,201.319444444444,202.380952380952,200.522495062291,198.019457956915,195.3125,196.455980530259,197.172358501097,197.608589555881,194.780552054548,194.530102790015,199.362041467305,206.25,210.957792207792,213.704444745885,215.626585489599,213.451125676831,209.702797202797,212.159863945578,212.463768115942,210.472104706077,207.121196561692,207.379322435278,216.405886513569,221.194690265487,224.924924924925,226.146220570012,225.52783109405,222.903037962137,219.69508518016,219.433359936153,220.409859464207,219.571865443425,216.34488847838,216.633333333333,217.416925008327,222.92595896521,228.926433168687,232.468161683278,232.616487455197,229.019660508296,225.636574074074,228.929616260106,229.932525083612,228.837990175199,226.41742081448,225.828313253012,231.027317593704,239.43661971831,243.775400998864,245.888966971188,247.294372294372,244.890929965557,241.679873217116,246.659815005139,247.629157820241,247.08963911525,246.0407239819,245.932124593212,250.277849354192,259.765461284577,265.160436520455,268.032082744307,270.199146514936,265.748031496063,262.5,266.998804304504,268.145161290323
"San Francisco, CA",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.777934936351,345.669291338583,347.388781431335,357.913669064748,363.872982821447,374.92762015055,380.841121495327,382.375478927203,380.776736366633,374.843554443054,375.829647829648,376.461887024376,367.613200306984,347.569307680654,347.789007794953,374.634502923977,392.34780939245,399.799599198397,410.059019758789,409.87010503842,405.690642408014,402.923832923833,405.585856875645,414.923291492329,415.532827347896,410.013968170428,402.218782249742,422.688422688423,435.153070723728,442.857142857143,442.104841571207,441.440743609605,437.617945974496,433.07091344091,439.338235294118,441.812592960871,436.496350364964,424.188790560472,431.51994905533,441.125942652498,452.136752136752,459.917780061665,462.548262548263,455.453864714202,452.204635387224,448.9593178954,456.974313551816,463.206816421379
"Detroit, MI",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.3015873015873,86.1582970230818,84.0845620358235,86.3762102351314,90.0429184549356,96.7380224260958,101.060887704825,103.379310344828,104.117476851852,103.680663556247,103.42912470572,101.947386629764,96.9109412964626,92.0772296038065,95.6653225806452,100.671422576584,103.138987521254,105.424020662936,107.625870204821,109.165105268349,109.042553191489,108.162974033201,107.458912768647,105.99173553719,105.451348182884,103.00725323583,102.15127008165,102.245879120879,106.319971108703,110.407816482583,114.805653710247,116.263237518911,116.766283969575,116.580310880829,115.962087793935,115.893719806763,114.942528735632,113.934426229508,112.095588235294,114.882032667877,119.170243204578,123.237591961631,126.608187134503,127.831715210356,127.620364110489,127.107350498339,126.92633361558,125.324919597908
"Riverside, CA",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.971208798332,156.677181913775,157.234773253889,158.979456593771,160.860445718066,162.661520869068,164.959202175884,165.385888102632,164.586388074291,164.465146711741,164.270012843289,164.473684210526,163.84335154827,163.265306122449,166.166090090253,168.937029486581,170.249061753668,171.571298819255,172.975172975173,173.228346456693,173.335574983188,172.856738184096,173.253757736516,174.858223062382,177.082373026035,177.663567038407,178.954203691046,179.969305360962,180.713634680859,182.03822815534,182.7239488117,183.363970588235,184.234851107265,183.178491291805,183.200289645185,183.755760368664,184.828600579813,185.50444530344,186.400455432661,187.861271676301,189.287335451657,190.298507462687,192.025052192067,192.206989726686,192.957092591386,193.610898503744,195.457159286947,196.367590484215
"Phoenix, AZ",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.085602411547,118.729372937294,119.365524570537,120.578778135048,121.688500727802,122.297661870504,122.084426610243,122.112051023007,121.359223300971,121.419437340153,121.52785899935,123.122765196663,122.499443083092,121.587072616268,124.707316176766,127.025675675676,128.588516746411,130.111524163569,130.71343889132,130.343020367712,128.160374090752,129.818181818182,130.727221279004,132.614509457656,133.896405919662,134.345794392523,135.450489662677,138.142747505756,138.880876325484,139.300897496457,140.18691588785,139.528226370644,138.898162111613,138.664932813177,139.559575304758,140.639698965193,141.174858101135,141.69449081803,143.27485380117,144.796082008358,144.963144963145,145.931603773585,146.028037383178,145.369284876905,144.812967721797,145.69970845481,146.961687823356,148.837901851878
"Seattle, WA",15,186.897196261682,186.961166852471,186.046511627907,186.026200873362,186.170212765957,184.210526315789,183.449477351916,180.921052631579,177.721655328798,169.52519379845,163.617767387493,159.317873450003,150.592903127801,146.588486140725,145.514705882353,140.285744451222,140.223357371795,140.841087247467,140.690015870726,141.14378293259,139.201704545455,135.294117647059,132.16583273767,128.509719222462,126.78369195923,130.507706255666,133.771929824561,135.995639906264,137.404580152672,139.639457194625,139.975251656212,136.2625,136.453033456676,132.600532775766,155.755677368833,152.412949293967,151.763392857143,154.738878143133,159.508590588696,165.093041370954,171.98773305391,177.811351892673,180.51434223541,180.722891566265,182.73550090437,181.757575757576,174.519480519481,173.489150849268,169.348752348415,171.097770154374,175.870732975221,180.327868852459,180.00847098687,188.520491803279,188.811188811189,188.57702338769,187.942477876106,186.564167824082,178.223410576352,167.1391503292,173.15055489337,181.286109863793,186.869158878505,191.941964285714,197.368421052632,200.638903113256,199.6875,200.387279879385,200.661713332234,200.138499003507,196.587537091988,193.661971830986,193.213058419244,199.08185840708,205.625,212.55905511811,216.702786377709,220.134136605077,220.534010250704,219.933333333333,221.717391304348,222.339929158993,219.133670796267,213.733523334521,213.675213675214,219.392450701956,230.46875,234.893689986283,241.146154021573,244.852977671599,246.735395189003,246.035739370747,248.343956953642,250
"Minneapolis, MN",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.282051282051,147.478070175439,147.855029585799,145.675413022352,150.281669585522,153.100775193798,155.86285947085,160.313901345291,162.671232876712,163.352140098464,162.665616438356,162.111801242236,162.023148148148,160.344827586207,159.492273730684,159.324390407609,161.970074812968,164.777069363134,166.747409560378,169.489610024773,170.349907918969,170.099502487562,169.822511937796,169.076005961252,168.056722689076,166.952495088409,165.525114155251,165.749811605124,168.344492069821,172,173.303008729751,175.585284280936,177.024291497976,177.28104314919,176.585144927536,176.666666666667,175.814147850788,174.735169491525,173.524305555556,174.107142857143,177.588813303099,181.852986217458,184.890788316573,187.095895343515,188.584905660377,188.542830540037,187.4375,187.665355738291,186.567164179104
"San Diego, CA",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.987977254459,274.662088904951,276.344168372268,281.033153430995,285.637300726842,289.85949908369,294.657704998524,296.16724738676,295.345651481363,295.669904963041,294.464944649447,292.235661334374,289.473684210526,285.807291666667,289.135514018692,294.258373205742,299.277499391029,302.516465019419,307.79153384239,302.974379421748,314.510400811771,315.518711650428,316.480891719745,314.779517332498,315.294435773159,316.551724137931,317.712470214456,320.969337289812,322.958896065766,325.113433613771,327.004954413068,328.518092105263,330.640160609322,330.088487810645,330.392244800561,330.464186904396,328.754666679664,329.62962962963,333.585409252669,334.891835310537,339.962121212121,345.596432552954,349.88038277512,348.71531785965,350.574765377543,352.077464788732,353.464552822978,353.568322981366
"Saint Louis, MO",18,111.92,112.748697611762,113.602941176471,114.012655447418,113.441711763239,112.453273300816,111.523978058132,111.037037037037,109.853121175031,108.75,107.630465405331,104.65461380218,102.154934273195,101.343914669386,102.577319587629,103.659707824115,104.673387220232,104.06746031746,102.564102564103,101.36847440446,100.250836120401,99.0990990990991,96.0737179487179,93.5940099833611,87.037037037037,82.780612244898,95.5912190963342,96.5469613259668,97.9177783706866,98.1359649122807,96.964586846543,95.8885335769758,96.0336538461538,95.7207207207207,101.260859073359,99.5192307692308,99.3781094527363,101.336011958191,103.658536585366,104.897739504844,106.318398271531,106.509624653349,106.177606177606,105.739795918367,105.803571428571,105.155182909956,102.999062792877,102.403148510683,101.740579375613,103.365384615385,105.290952131906,107.329545454545,108.882783882784,109.074408065113,108.823529411765,107.944540527397,107.506584723442,107.02380952381,105.509641873278,104.079861111111,104.151380670611,106.388888888889,108.830845771144,110.016298185941,111.88534628647,112.03007518797,111.538461538462,110.421052631579,109.37175967306,108.975434520737,108.553631504385,106.943948982511,107.457640107678,108.67361283601,111.742424242424,116.666666666667,117.501044950046,116.486261448793,115.942028985507,115.303983228512,115.175761688585,114.689519757834,113.863266668547,111.69757489301,110.480769230769,113.085621970921,117.384085213033,120.921029949661,122.97507788162,123.906556314425,123.646416460259,122.684085510689,122.102320937067,121.469720728793
"Tampa, FL",19,106.06960950764,103.376623376623,102.03821656051,100.979192166463,98.5403482903198,96.401028277635,94.7951070336391,93.4187113691703,92.3529411764706,89.7959183673469,87.6440460947503,85.2242081004217,83.020202020202,81.6086247214155,81.8471337579618,80.9061488673139,81.8487081219187,82.1748878923767,81.4639278122424,80.6057645334636,79.3121693121693,78.6127145799044,77.6666666666667,76.1124004371625,75.9475587703436,77.0135190495699,77.0450819672131,75.2354048964218,75.4375377187689,75.5642787046124,75.5671902268761,76.0498687664042,76.1604326273096,78.0805037670951,88.1666666666667,88.8897902968672,90.0996677740864,91.5652353371349,92.9315476190476,93.9007441530829,95.4132231404959,96.5544991927113,97.7641191792135,98.1481172624777,98.3217592592593,98.3085325638912,97.1345313258864,97.9938271604938,98.038254046101,100.100772589856,100.424866571782,101.919616076785,100.973537604457,99.3197278911565,102.998696219035,103.423676012461,103.365384615385,103.246833156969,103.020937188435,102.186761229314,104.140625,106.653931868832,106.344300432037,106.232294617564,106.910569105691,107.828692549984,108.647798742138,110.890305857187,111.480858224653,112.55890052356,113.934955050238,114.089579113212,114.499537123234,116.632860040568,118.457300275482,120.509607351713,120.487118712664,121.028744326778,121.839632964801,122.111111111111,123.152709359606,124.113475177305,125.102207686018,124.821356123637,127.098674521355,129.061861686606,130.191250834408,131.875,133.351293103448,132.925531914894,133.28530259366,132.997297297297,134.715515747151,135.051215253678
"Baltimore, MD",20,175.633537894477,175.682507583418,176.428886848219,176.672555948174,175.504995085281,174.382226762802,173.05396250661,170.780415605626,169.036136205698,166.956509751464,165.782894736842,162.211021209732,159.995265151515,158.730158730159,161.055555555556,161.967938087341,163.664483222994,163.114397564158,162.337012987013,161.001872659176,159.015151515152,156.652030087032,153.364226682409,150.820878229637,150.065274151436,150.851393188855,150.907715582451,151.439393939394,144.151565074135,155.442583732057,155.700934579439,155.223644991764,153.021978021978,152.941970310391,156.647376252543,154.847730020428,153.47129506008,154.532967032967,158.380681818182,162.064825930372,165.59621474996,167.377657127827,166.790214974055,166.216216216216,167.987606718454,166.39950894423,163.343951467341,162.962759575232,161.040268456376,163.866120218579,167.014091858038,169.479145506373,171.813456540572,172.009382329945,170.454545454545,169.047911977614,167.888677602639,166.369863013699,163.902335456476,161.109871152609,159.883413529355,162.037037037037,164.334428923583,166.834022445363,168.451400329489,168.371707657422,166.428571428571,166.598611111111,166.961718276247,164.790187036972,163.674033149171,162.037037037037,162.5,162.827340133722,166.730954676953,171.969045571797,173.471405228758,173.160173160173,172.648363541221,170.848883811231,171.194533905887,170.131038818432,169.993749504109,167.762237762238,166.896551724138,168.728531102268,173.409243134628,177.141096734442,179.370629370629,179.614485981308,179.178195389281,178.774222597408,178.571428571429,177.980132450331
"Denver, CO",21,157.827857461324,157.981275599766,157.894736842105,158.107632782272,158.292682926829,157.688847573451,156.8,156.477263982651,153.499709546151,149.864431819178,145.14634474689,139.731182795699,136.419213149416,134.890965732087,136.010819165379,137.931034482759,141.643059490085,142.045454545455,142.624286878566,141.658399566176,138.947845965076,135.178351783518,129.279031370391,124.408450704225,123.907910271547,126.183368869936,128.805620608899,129.714259796807,132.299270072993,135,136.064030131827,136.298701298701,136.064030131827,136.683317264266,153.960320807679,154.420206659013,153.997378768021,156.658141517477,160.246913580247,162.308039120483,166.14349681101,168.269230769231,171.066163866987,170.723833134876,172.13196612935,170.403618972834,168.406072106262,169.871209657444,169.51006613932,173.252798162654,175.286681128887,178.651654195729,181.218665638257,184.837688044339,185.561769191662,186.441421676174,185.543723781865,187.30407523511,185.900843677422,188.705859927247,192.662176951155,194.531634519841,198.412698412698,200.321371183717,201.578906356535,204.944697462589,206.712062256809,208.594075928244,209.051724137931,209.496474995701,210.00935453695,210.084033613445,209.542666666667,216.983993418018,219.927862939585,221.272047033672,226.508381771333,227.272727272727,226.941457586619,227.335653920174,227.634347225876,229.565602836879,228.408279800143,226.093402520385,228.519195612431,234.848963483866,240.231928774072,240.758112709332,242.387332521315,242.816844379344,243.682310469314,244.487619869996,245.359385038307,246.065030656675
